datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12/1/2018,2018,12,Winter, 43 , 2.83 ,170,03:53.4,06:43.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26261,Subscriber,1975,1
12/1/2018,2018,12,Winter, 30 , 2.87 ,172,47:13.7,50:05.8,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,26175,Subscriber,1988,1
12/1/2018,2018,12,Winter, 28 , 4.12 ,247,48:57.7,53:05.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29255,Subscriber,1990,1
12/1/2018,2018,12,Winter, 23 , 6.77 ,406,33:53.7,40:39.7,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29275,Subscriber,1995,1
12/1/2018,2018,12,Winter, 42 , 5.90 ,354,26:52.5,32:46.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29658,Subscriber,1976,1
12/1/2018,2018,12,Winter, 30 , 3.95 ,237,08:19.9,12:17.1,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29221,Subscriber,1988,1
12/1/2018,2018,12,Winter, 37 , 6.60 ,396,34:36.4,41:12.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,26306,Subscriber,1981,2
12/1/2018,2018,12,Winter, 58 , 5.42 ,325,03:04.9,08:30.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29640,Subscriber,1960,1
12/1/2018,2018,12,Winter, 37 , 4.10 ,246,22:33.4,26:39.6,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29623,Subscriber,1981,1
12/1/2018,2018,12,Winter, 49 , 13.75 ,825,02:48.6,16:33.8,3183,Exchange Place,40.7162469,-74.0334588,3483,Montgomery St,40.71942,-74.05099,26203,Customer,1969,0
12/1/2018,2018,12,Winter, 29 , 17.55 ,1053,17:48.9,35:22.4,3183,Exchange Place,40.7162469,-74.0334588,3206,Hilltop,40.7311689,-74.0575736,29257,Subscriber,1989,1
12/1/2018,2018,12,Winter, 26 , 2.17 ,130,22:32.6,24:43.0,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29599,Subscriber,1992,1
